,handle,count,compound,positive,negative,neutral,date
579,USATODAY,80,-0.1779,0.16,0.19,0.649,1520291838.0
578,USATODAY,79,0.8271,0.355,0.0,0.645,1520291987.0
577,USATODAY,78,0.4588,0.214,0.0,0.786,1520292058.0
333,BreitbartNews,34,0.0,0.0,0.0,1.0,1520292275.0
576,USATODAY,77,-0.296,0.0,0.196,0.804,1520292361.0
174,FoxNews,75,-0.128,0.0,0.2,0.8,1520292504.0
575,USATODAY,76,0.3612,0.263,0.0,0.737,1520292549.0
574,USATODAY,75,-0.5994,0.0,0.206,0.794,1520292611.0
261,nytimes,62,0.0,0.0,0.0,1.0,1520292617.0
452,CBSNews,53,0.4588,0.15,0.0,0.85,1520292696.0
573,USATODAY,74,-0.4497,0.0,0.134,0.866,1520292917.0
173,FoxNews,74,-0.743,0.0,0.249,0.751,1520292928.0
572,USATODAY,73,0.0,0.0,0.0,1.0,1520293152.0
172,FoxNews,73,0.128,0.111,0.0,0.889,1520293162.0
332,BreitbartNews,33,0.0,0.0,0.0,1.0,1520293394.0
451,CBSNews,52,-0.34,0.0,0.112,0.888,1520293502.0
571,USATODAY,72,0.5267,0.226,0.089,0.685,1520293508.0
260,nytimes,61,0.0,0.0,0.0,1.0,1520293511.0
171,FoxNews,72,-0.2023,0.0,0.13,0.87,1520293696.0
259,nytimes,60,0.4019,0.109,0.0,0.891,1520293824.0
570,USATODAY,71,0.0,0.0,0.0,1.0,1520294416.0
258,nytimes,59,0.296,0.162,0.103,0.735,1520294444.0
450,CBSNews,51,-0.0516,0.0,0.091,0.909,1520294461.0
331,BreitbartNews,32,0.0,0.0,0.0,1.0,1520294559.0
170,FoxNews,71,0.1779,0.184,0.136,0.68,1520295022.0
330,BreitbartNews,31,0.0,0.0,0.0,1.0,1520295023.0
569,USATODAY,70,0.4019,0.278,0.0,0.722,1520295182.0
568,USATODAY,69,-0.2263,0.0,0.128,0.872,1520295305.0
257,nytimes,58,0.0,0.0,0.0,1.0,1520295309.0
449,CBSNews,50,0.6808,0.321,0.107,0.573,1520295361.0
567,USATODAY,68,0.1779,0.124,0.0,0.876,1520295466.0
329,BreitbartNews,30,0.0,0.0,0.0,1.0,1520295759.0
256,nytimes,57,0.0258,0.058,0.0,0.942,1520295781.0
169,FoxNews,70,-0.4404,0.0,0.225,0.775,1520296133.0
566,USATODAY,67,0.4404,0.266,0.0,0.734,1520296209.0
565,USATODAY,66,0.0,0.0,0.0,1.0,1520296209.0
255,nytimes,56,0.34,0.124,0.0,0.876,1520296229.0
168,FoxNews,69,-0.4019,0.0,0.209,0.791,1520296273.0
167,FoxNews,68,0.34,0.103,0.0,0.897,1520296762.0
166,FoxNews,67,-0.1808,0.116,0.105,0.779,1520296771.0
165,FoxNews,66,0.0,0.0,0.0,1.0,1520296783.0
164,FoxNews,65,0.0,0.0,0.0,1.0,1520296791.0
448,CBSNews,49,-0.6249,0.0,0.389,0.611,1520296801.0
564,USATODAY,65,0.0,0.0,0.0,1.0,1520296809.0
328,BreitbartNews,29,0.0,0.0,0.0,1.0,1520296918.0
563,USATODAY,64,0.0,0.0,0.0,1.0,1520297106.0
254,nytimes,55,-0.4404,0.0,0.153,0.847,1520297108.0
253,nytimes,54,-0.25,0.101,0.185,0.714,1520297531.0
163,FoxNews,64,0.6124,0.25,0.0,0.75,1520297755.0
162,FoxNews,63,0.0,0.0,0.0,1.0,1520297925.0
562,USATODAY,63,0.6767,0.293,0.0,0.707,1520298022.0
252,nytimes,53,-0.0516,0.153,0.163,0.684,1520298025.0
4,BBC,5,0.1531,0.105,0.077,0.818,1520298031.0
327,BreitbartNews,28,0.0,0.0,0.0,1.0,1520298060.0
447,CBSNews,48,-0.4767,0.0,0.14,0.86,1520298061.0
161,FoxNews,62,0.0,0.0,0.0,1.0,1520298146.0
446,CBSNews,47,0.3182,0.113,0.0,0.887,1520298590.0
160,FoxNews,61,0.3182,0.15,0.0,0.85,1520298678.0
159,FoxNews,60,0.0,0.0,0.0,1.0,1520298879.0
251,nytimes,52,0.0,0.0,0.0,1.0,1520298903.0
561,USATODAY,62,0.0,0.0,0.0,1.0,1520298906.0
3,BBC,4,0.4472,0.211,0.0,0.789,1520298934.0
560,USATODAY,61,0.0,0.0,0.0,1.0,1520299141.0
559,USATODAY,60,-0.296,0.0,0.136,0.864,1520299354.0
558,USATODAY,59,0.3612,0.263,0.0,0.737,1520299356.0
2,BBC,3,0.6124,0.263,0.0,0.737,1520299402.0
326,BreitbartNews,27,0.0,0.0,0.0,1.0,1520299410.0
250,nytimes,51,-0.3818,0.0,0.126,0.874,1520299455.0
557,USATODAY,58,-0.4404,0.0,0.245,0.755,1520299484.0
158,FoxNews,59,0.0,0.0,0.0,1.0,1520299678.0
249,nytimes,50,0.5106,0.237,0.1,0.664,1520299827.0
445,CBSNews,46,0.0,0.0,0.0,1.0,1520299844.0
444,CBSNews,45,0.0,0.0,0.0,1.0,1520300028.0
443,CBSNews,44,0.5719,0.188,0.0,0.812,1520300158.0
248,nytimes,49,-0.3182,0.0,0.099,0.901,1520300223.0
